paper_id,title,paper_type,total_score,reasons
an-agentic-system-for-rare-disease-diagnosis-with-traceable-reasoning,An Agentic System for Rare Disease Diagnosis with Traceable Reasoning,agent_system,67.5,low_dimension_confidence
an-explainable-agentic-ai-framework-for-uncertainty-aware-and-abstention-enabled,An Explainable Agentic AI Framework for Uncertainty-Aware and Abstention-Enabled Acute Ischemic Stroke Imaging Decisions,agent_system,0.0,low_paper_type_confidence; score_affecting_response_repair
annaagent-dynamic-evolution-agent-system-with-multi-session-memory-for-realistic,AnnaAgent: Dynamic Evolution Agent System with Multi-Session Memory for Realistic Seeker Simulation,agent_system,77.5,low_dimension_confidence
are-vision-language-models-ready-for-clinical-diagnosis-a-3d-medical-benchmark-f,Are Vision Language Models Ready for Clinical Diagnosis? A 3D Medical Benchmark for Tumor-centric Visual Question Answering,benchmark,65.0,low_dimension_confidence; score_affecting_response_repair; invalid_evidence_dropped
ask-patients-with-patience-enabling-llms-for-human-centric-medical-dialogue-with,Ask Patients with Patience: Enabling LLMs for Human-Centric Medical Dialogue with Grounded Reasoning,agent_system,55.0,score_affecting_response_repair
autogen-enabling-next-gen-llm-applications-via-multi-agent-conversation,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,agent_system,35.0,low_dimension_confidence; score_affecting_response_repair
autohealth-an-uncertainty-aware-multi-agent-system-for-autonomous-health-data-mo,AutoHealth: An Uncertainty-Aware Multi-Agent System for Autonomous Health Data Modeling,agent_system,67.5,invalid_evidence_dropped
automated-rubrics-for-reliable-evaluation-of-medical-dialogue-systems,Automated Rubrics for Reliable Evaluation of Medical Dialogue Systems,method_model,67.5,low_dimension_confidence; low_paper_type_confidence; invalid_evidence_dropped
autonomous-radiotherapy-treatment-planning-using-dola-a-privacy-preserving-llm-b,"Autonomous Radiotherapy Treatment Planning Using DOLA: A Privacy-Preserving, LLM-Based Optimization Agent",agent_system,75.0,low_dimension_confidence
benchmarking-large-language-models-on-communicative-medical-coaching-a-dataset-a,Benchmarking Large Language Models on Communicative Medical Coaching: A Dataset and a Novel System,benchmark,35.0,score_affecting_response_repair
benchmarking-retrieval-augmented-generation-for-medicine,Benchmarking Retrieval-Augmented Generation for Medicine,benchmark,67.5,low_dimension_confidence
beyond-direct-diagnosis-llm-based-multi-specialist-agent-consultation-for-automa,Beyond Direct Diagnosis: LLM-based Multi-Specialist Agent Consultation for Automatic Diagnosis,method_model,50.0,low_dimension_confidence; score_affecting_response_repair; invalid_evidence_dropped
bidirectional-human-ai-collaboration-in-brain-tumour-assessments-improves-both-e,Bidirectional human-AI collaboration in brain tumour assessments improves both expert human and AI agent performance,agent_system,67.5,low_dimension_confidence; low_paper_type_confidence; invalid_evidence_dropped
bioscientist-agent-designing-llm-biomedical-agents-with-kg-augmented-rl-reasonin,BioScientist Agent: Designing LLM-Biomedical Agents with KG-Augmented RL Reasoning Modules for Drug Repurposing and Mechanistic of Action Elucidation,agent_system,45.0,score_affecting_response_repair
biorag-a-rag-llm-framework-for-biological-question-reasoning,BiorAG: A RAG-LLM Framework for Biological Question Reasoning,method_model,62.5,invalid_evidence_dropped
builder-a-multi-agent-system-for-automated-machine-learning-in-medical-imaging,$\mathbf{M}^{3}$ Builder: A Multi-Agent System for Automated Machine Learning in Medical Imaging,agent_system,45.0,score_affecting_response_repair; invalid_evidence_dropped
cactus-towards-psychological-counseling-conversations-using-cognitive-behavioral,CACTUS: Towards Psychological Counseling Conversations using Cognitive Behavioral Theory,benchmark,60.0,low_dimension_confidence; low_paper_type_confidence; score_affecting_response_repair
care-towards-clinical-accountability-in-multi-modal-medical-reasoning-with-an-ev,CARE: TOWARDS CLINICAL ACCOUNTABILITY IN MULTI-MODAL MEDICAL REASONING WITH AN EVIDENCE-GROUNDED AGENTIC FRAMEWORK,method_model,55.0,score_affecting_response_repair
chathero-a-language-agent-for-recovery-support,CHATHERO: A LANGUAGE AGENT FOR RECOVERY SUPPORT,agent_system,65.0,low_dimension_confidence; score_affecting_response_repair
clibench-a-multifaceted-and-multigranular-evaluation-of-large-language-models-fo,CLIBENCH: A MULTIFACeted AND MULTIGRANULAR EVALUATION OF LARGE LANGUAGE MODELS FOR CLINICAL DECISION MAKING,benchmark,87.5,invalid_evidence_dropped
cp-env-evaluating-large-language-models-on-clinical-pathways-in-a-controllable-h,CP-Env: Evaluating Large Language Models on Clinical Pathways in a Controllable Hospital Environment,benchmark,55.0,score_affecting_response_repair; invalid_evidence_dropped
cpathagent-an-agent-based-foundation-model-for-interpretable-high-resolution-pat,CPathAgent: An Agent-based Foundation Model for Interpretable High-Resolution Pathology Image Analysis Mimicking Pathologists’ Diagnostic Logic,method_model,57.5,low_dimension_confidence; low_paper_type_confidence
ct-agent-a-multimodal-llm-agent-for-3d-ct-radiology-question-answering,CT-Agent: A Multimodal-LLM Agent for 3D CT Radiology Question Answering,agent_system,85.0,low_dimension_confidence
can-agents-distinguish-visually-hard-to-separate-diseases-in-a-zero-shot-setting,Can Agents Distinguish Visually Hard-to-Separate Diseases in a Zero-Shot Setting? A Pilot Study,benchmark,35.0,score_affecting_response_repair
causal-reinforcement-learning-based-agent-patient-interaction-with-clinical-doma,Causal Reinforcement Learning based Agent-Patient Interaction with Clinical Domain Knowledge,method_model,62.5,low_dimension_confidence; low_paper_type_confidence
cellagent-an-llm-driven-multi-agent-framework-for-automated-single-cell-data-ana,CellAgent: An LLM-driven Multi-Agent Framework for Automated Single-cell Data Analysis,agent_system,67.5,low_dimension_confidence
clindef-a-dynamic-evaluation-framework-for-large-language-models-in-clinical-rea,ClinDEF: A Dynamic Evaluation Framework for Large Language Models in Clinical Reasoning,benchmark,77.5,low_dimension_confidence
clinnoteagents-an-llm-multi-agent-system-for-predicting-and-interpreting-heart-f,ClinNoteAgents: An LLM Multi-Agent System for Predicting and Interpreting Heart Failure 30-Day Readmission from Clinical Notes,agent_system,45.0,low_dimension_confidence; score_affecting_response_repair
clinical-reality-vs-computational-promise-scoping-review-of-agentic-ai-systems-i,Clinical Reality vs. Computational Promise: Scoping Review of Agentic AI Systems in Healthcare,survey_review,63.33,low_dimension_confidence
clinicallab-aligning-agents-for-multi-departmental-clinical-diagnostics-in-the-r,ClinicalLab: Aligning Agents for Multi-Departmental Clinical Diagnostics in the Real World,benchmark,87.5,low_paper_type_confidence; invalid_evidence_dropped
closing-reasoning-gaps-in-clinical-agents-with-differential-reasoning-learning,Closing Reasoning Gaps in Clinical Agents with Differential Reasoning Learning,method_model,50.0,low_dimension_confidence
comma-contribution-aware-medical-multi-agents-from-a-game-theoretic-perspective,CoMMa: Contribution-Aware Medical Multi-Agents From A Game-Theoretic Perspective,method_model,55.0,score_affecting_response_repair; invalid_evidence_dropped
code-like-humans-a-multi-agent-solution-for-medical-coding,Code Like Humans: A Multi-Agent Solution for Medical Coding,agent_system,70.0,score_affecting_response_repair
colacare-enhancing-electronic-health-record-modeling-through-large-language-mode,ColaCare: Enhancing Electronic Health Record Modeling through Large Language Model-Driven Multi-Agent Collaboration,agent_system,55.0,score_affecting_response_repair
confagents-a-conformal-guided-multi-agent-framework-for-cost-efficient-medical-d,ConfAgents: A Conformal-Guided Multi-Agent Framework for Cost-Efficient Medical Diagnosis,method_model,35.0,score_affecting_response_repair
dart-leveraging-multi-agent-disagreement-for-tool-recruitment-in-multimodal-reas,DART: Leveraging Multi-Agent Disagreement for Tool Recruitment in Multimodal Reasoning,method_model,35.0,score_affecting_response_repair
deepmed-building-a-medical-deepresearch-agent-via-multi-hop-med-search-data-and-,DEEPMED: Building a Medical DeepResearch Agent via Multi-hop Med-Search Data and Turn-Controlled Agentic Training & Inference,method_model,65.0,score_affecting_response_repair
dh-rag-a-dynamic-historical-context-powered-retrieval-augmented-generation-metho,DH-RAG: A Dynamic Historical Context-Powered Retrieval-Augmented Generation Method for Multi-Turn Dialogue,method_model,57.5,invalid_evidence_dropped
ducx-decomposing-unfairness-in-tool-using-chest-x-ray-agents,DUCX: Decomposing Unfairness in Tool-Using Chest X-ray Agents,benchmark,67.5,low_paper_type_confidence
do-mixed-vendor-multi-agent-llms-improve-clinical-diagnosis,Do Mixed-Vendor Multi-Agent LLMs Improve Clinical Diagnosis?,method_model,22.5,low_paper_type_confidence; score_affecting_response_repair; invalid_evidence_dropped
doctoragent-rl-a-multi-agent-collaborative-reinforcement-learning-system-for-mul,DoctorAgent-RL: A Multi-Agent Collaborative Reinforcement Learning System for Multi-Turn Clinical Dialogue,agent_system,25.0,score_affecting_response_repair
ehrr-a-large-language-model-driven-iterative-multi-agent-electronic-health-recor,EHRR: A Large Language Model-Driven Iterative Multi-Agent Electronic Health Record Data Analysis Workflow,agent_system,50.0,low_dimension_confidence; score_affecting_response_repair; invalid_evidence_dropped
efficient-and-agentic-llms-for-therapeutics,Efficient and Agentic LLMs for Therapeutics,method_model,90.0,low_paper_type_confidence
emulatrx-empowering-clinical-trial-design-with-agentic-intelligence-and-real-wor,EmulatRx: Empowering Clinical Trial Design with Agentic Intelligence and Real World Data,agent_system,67.5,low_dimension_confidence; invalid_evidence_dropped
engineering-ai-agents-for-clinical-workflows-a-case-study-in-architecture-mlops-,"Engineering AI Agents for Clinical Workflows: A Case Study in Architecture, MLOps, and Governance",agent_system,72.5,low_dimension_confidence; invalid_evidence_dropped
enhancing-llms-for-impression-generation-in-radiology-reports-through-a-multi-ag,Enhancing LLMs for Impression Generation in Radiology Reports through a Multi-Agent System,agent_system,80.0,low_dimension_confidence
enhancing-diagnostic-capability-with-multi-agents-conversational-large-language-,Enhancing diagnostic capability with multi-agents conversational large language models,agent_system,80.0,low_dimension_confidence; invalid_evidence_dropped
evidence-based-diagnostic-reasoning-with-multi-agent-copilot-for-human-pathology,Evidence-based diagnostic reasoning with multi-agent copilot for human pathology,agent_system,30.0,score_affecting_response_repair; invalid_evidence_dropped
evoclinician-a-self-evolving-agent-for-multi-turn-medical-diagnosis-via-test-tim,EvoClinician: A Self-Evolving Agent for Multi-Turn Medical Diagnosis via Test-Time Evolutionary Learning,benchmark,80.0,score_affecting_response_repair
experienceweaver-optimizing-small-sample-experience-learning-for-llm-based-clini,ExperienceWeaver: Optimizing Small-sample Experience Learning for LLM-based Clinical Text Improvement,method_model,77.5,low_paper_type_confidence; invalid_evidence_dropped
exploring-community-powered-conversational-agent-for-health-knowledge-acquisitio,Exploring Community-Powered Conversational Agent for Health Knowledge Acquisition: A Case Study in Colorectal Cancer,agent_system,67.5,score_affecting_response_repair
exploring-llm-multi-agents-for-icd-coding,Exploring LLM Multi-Agents for ICD Coding,agent_system,62.5,low_dimension_confidence; invalid_evidence_dropped
finagent-an-agentic-ai-framework-integrating-personal-finance-and-nutrition-plan,FinAgent: An Agentic AI Framework Integrating Personal Finance and Nutrition Planning,agent_system,80.0,score_affecting_response_repair; invalid_evidence_dropped
from-conflict-to-consensus-boosting-medical-reasoning-via-multi-round-agentic-ra,From Conflict to Consensus: Boosting Medical Reasoning via Multi-Round Agentic RAG,method_model,55.0,score_affecting_response_repair; invalid_evidence_dropped
from-ehrs-to-patient-pathways-scalable-modeling-of-longitudinal-health-trajector,From EHRs to Patient Pathways: Scalable Modeling of Longitudinal Health Trajectories with LLMs,method_model,52.5,low_dimension_confidence
gmat-grounded-multi-agent-clinical-description-generation-for-text-encoder-in-vi,GMAT: Grounded Multi-Agent Clinical Description Generation for Text Encoder in Vision-Language MIL for Whole Slide Image Classification,method_model,52.5,invalid_evidence_dropped
geneagent-self-verification-language-agent-for-gene-set-analysis-using-domain-da,GeneAgent: self-verification language agent for gene-set analysis using domain databases,agent_system,55.0,low_dimension_confidence; score_affecting_response_repair; invalid_evidence_dropped
goal-driven-risk-assessment-for-llm-powered-systems-a-healthcare-case-study,Goal-Driven Risk Assessment for LLM-Powered Systems: A Healthcare Case Study,method_model,61.11,low_paper_type_confidence
harmon-e-hierarchical-agentic-reasoning-for-multi-modal-oncology-notes-to-extrac,HARMON-E : Hierarchical Agentic Reasoning for Multi-modal Oncology Notes to Extract Structured Data,agent_system,67.5,invalid_evidence_dropped
heal-kggen-a-hierarchical-multi-agent-llm-framework-with-knowledge-graph-enhance,HEAL-KGGen: A Hierarchical Multi-Agent LLM Framework with Knowledge Graph Enhancement for Genetic Biomarker-Based Medical Diagnosis,agent_system,62.5,low_dimension_confidence
hecix-integrating-knowledge-graphs-and-large-language-models-for-biomedical-rese,HeCiX: Integrating Knowledge Graphs and Large Language Models for Biomedical Research,agent_system,40.0,score_affecting_response_repair
hybrid-code-v2-zero-hallucination-clinical-icd-10-coding-via-neuro-symbolic-veri,Hybrid-Code v2: Zero-Hallucination Clinical ICD-10 Coding via Neuro-Symbolic Verification and Automated Knowledge Base Expansion,method_model,25.0,score_affecting_response_repair
ibisagent-reinforcing-pixel-level-visual-reasoning-in-mllms-for-universal-biomed,IBISAgent: Reinforcing Pixel-Level Visual Reasoning in MLLMs for Universal Biomedical Object Referring and Segmentation,method_model,45.0,low_dimension_confidence; low_paper_type_confidence; score_affecting_response_repair
incentivizing-tool-augmented-thinking-with-images-for-medical-image-analysis,INCENTIVIZING TOOL-AUGMENTED THINKING WITH IMAGES FOR MEDICAL IMAGE ANALYSIS,method_model,35.0,low_paper_type_confidence; score_affecting_response_repair
inflerno-end-to-end-agent-based-fhir-resource-synthesis-from-free-form-clinical-,Inflerno: End-to-end Agent-based FHIR Resource Synthesis from Free-form Clinical Notes,agent_system,67.5,invalid_evidence_dropped
intelligent-virtual-sonographer-ivs-enhancing-physician-robot-patient-communicat,Intelligent Virtual Sonographer (IVS): Enhancing Physician-Robot-Patient Communication,agent_system,72.5,score_affecting_response_repair
kerap-a-knowledge-enhanced-reasoning-approach-for-accurate-zero-shot-diagnosis-p,KERAP: A Knowledge-Enhanced Reasoning Approach for Accurate Zero-shot Diagnosis Prediction Using Multi-agent LLMs,method_model,35.0,score_affecting_response_repair
kg4diagnosis-a-hierarchical-multi-agent-llm-framework-with-knowledge-graph-enhan,KG4Diagnosis: A Hierarchical Multi-Agent LLM Framework with Knowledge Graph Enhancement for Medical Diagnosis,agent_system,50.0,low_paper_type_confidence
kom-a-multi-agent-artificial-intelligence-system-for-precision,KOM: A Multi-Agent Artificial Intelligence System for Precision,agent_system,90.0,low_dimension_confidence; invalid_evidence_dropped
lammi-pathology-a-tool-centric-bottom-up-lvlm-agent-framework-for-molecularly-in,LAMMI-Pathology: A Tool-Centric Bottom-Up LVLM-Agent Framework for Molecularly Informed Medical Intelligence in Pathology,agent_system,57.5,low_paper_type_confidence
llm-based-medical-assistant-personalization-with-short-and-long-term-memory-coor,LLM-based Medical Assistant Personalization with Short- and Long-Term Memory Coordination,method_model,55.0,score_affecting_response_repair
large-language-model-agent-for-modular-task-execution-in-drug-discovery,Large Language Model Agent for Modular Task Execution in Drug Discovery,agent_system,50.0,low_dimension_confidence
llama-3-1-405b-is-comparable-to-gpt-4-for-extraction-of-data-from-thrombectomy-r,Llama 3.1 405B Is Comparable to GPT-4 for Extraction of Data from Thrombectomy Reports—A Step Towards Secure Data Extraction,method_model,77.5,low_dimension_confidence; low_paper_type_confidence
lungnoduleagent-a-collaborative-multi-agent-system-for-precision-diagnosis-of-lu,LungNoduleAgent: A Collaborative Multi-Agent System for Precision Diagnosis of Lung Nodules,agent_system,67.5,invalid_evidence_dropped
malade-orchestration-of-llm-powered-agents-with-retrieval-augmented-generation-f,MALADE: Orchestration of LLM-powered Agents with Retrieval Augmented Generation for Pharmacovigilance,agent_system,72.5,low_dimension_confidence
mam-modular-multi-agent-framework-for-multi-modal-medical-diagnosis-via-role-spe,MAM: Modular Multi-Agent Framework for Multi-Modal Medical Diagnosis via Role-Specialized Collaboration,agent_system,35.0,score_affecting_response_repair
mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making,MDAgents: An Adaptive Collaboration of LLMs for Medical Decision-Making,agent_system,55.0,score_affecting_response_repair
medagentsbench-benchmarking-thinking-models-and-agent-frameworks-for-complex-med,MEDAGENTSBENCH: Benchmarking Thinking Models and Agent Frameworks for Complex Medical Reasoning,benchmark,67.5,low_dimension_confidence
medaide-information-fusion-and-anatomy-of-medical-intents-via-llm-based-agent-co,MEDAIDE: Information Fusion and Anatomy of Medical Intents via LLM-based Agent Collaboration,agent_system,45.0,low_dimension_confidence; low_paper_type_confidence; score_affecting_response_repair
medbench-v4-a-robust-and-scalable-benchmark-for-evaluating-chinese-medical-langu,"MEDBENCH V4: A ROBUST AND SCALABLE BENCHMARK FOR EVALUATING CHINESE MEDICAL LANGUAGE MODELS, MULTIMODAL MODELS, AND INTELLIGENT AGENTS",benchmark,77.5,low_dimension_confidence
medco-medical-education-copilots-based-on-a-multi-agent-framework,MEDCO: Medical Education Copilots Based on A Multi-Agent Framework,agent_system,62.5,score_affecting_response_repair
medcorag-interpretable-hepatology-diagnosis-via-hybrid-evidence-retrieval-and-mu,MEDCoRAG: Interpretable Hepatology Diagnosis via Hybrid Evidence Retrieval and Multispecialty Consensus,agent_system,50.0,low_dimension_confidence; invalid_evidence_dropped
medvistagym-a-scalable-training-environment-for-thinking-with-medical-images-via,MEDVISTAGYM: A Scalable Training Environment for Thinking with Medical Images via Tool-Integrated Reinforcement Learning,benchmark,90.0,low_paper_type_confidence
meissa-multi-modal-medical-agentic-intelligence,MEISSA: Multi-modal Medical Agentic Intelligence,method_model,67.5,invalid_evidence_dropped
metagpt-meta-programming-for-a-multi-agent-collaborative-framework,METAGPT: META PROGRAMMING FOR A MULTI-AGENT COLLABORATIVE FRAMEWORK,method_model,77.5,invalid_evidence_dropped
mind-unified-inquiry-and-diagnosis-rl-with-criteria-grounded-clinical-supports-f,MIND: Unified Inquiry and Diagnosis RL with Criteria Grounded Clinical Supports for Psychiatric Consultation,agent_system,55.0,score_affecting_response_repair; invalid_evidence_dropped
mmedagent-rl-optimizing-multi-agent-collaboration-for-multimodal-medical-reasoni,MMEDAGENT-RL: OPTIMIZING MULTI-AGENT COLLABORATION FOR MULTIMODAL MEDICAL REASONING,method_model,77.5,low_dimension_confidence
mmedagent-learning-to-use-medical-tools-with-multi-modal-agent,MMedAgent: Learning to Use Medical Tools with Multi-modal Agent,agent_system,55.0,low_dimension_confidence; score_affecting_response_repair
mmedagent-learning-to-use-medical-tools-with-multi-modal-agent-dup2,MMedAgent: Learning to Use Medical Tools with Multi-modal Agent,agent_system,57.5,low_dimension_confidence
many-to-one-adversarial-consensus-exposing-multi-agent-collusion-risks-in-ai-bas,Many-to-One Adversarial Consensus: Exposing Multi-Agent Collusion Risks in AI-Based Healthcare,agent_system,67.5,invalid_evidence_dropped
medai-evaluating-txagent-s-therapeutic-agenic-reasoning-in-the-neurips-cure-benc,MedAI: Evaluating TxAgent's Therapeutic Agenic Reasoning in the NeurIPS CURE-Bench Competition,method_model,80.0,low_dimension_confidence
medagentbench-a-realistic-virtual-ehr-environment-to-benchmark-medical-llm-agent,MedAgentBench: A Realistic Virtual EHR Environment to Benchmark Medical LLM Agents,benchmark,65.0,score_affecting_response_repair; invalid_evidence_dropped
medagentboard-benchmarking-multi-agent-collaboration-with-conventional-methods-f,MedAgentBoard: Benchmarking Multi-Agent Collaboration with Conventional Methods for Diverse Medical Tasks,benchmark,77.5,low_dimension_confidence
medagentsim-self-evolving-multi-agent-simulations-for-realistic-clinical-interac,MedAgentSim: Self-Evolving Multi-Agent Simulations for Realistic Clinical Interactions,agent_system,80.0,invalid_evidence_dropped
medagents-large-language-models-as-collaborators-for-zero-shot-medical-reasoning,MedAgents: Large Language Models as Collaborators for Zero-shot Medical Reasoning,method_model,55.0,score_affecting_response_repair
medbeads-an-agent-native-immutable-data-substrate-for-trustworthy-medical-ai,"MedBeads: An Agent-Native, immutable Data Substrate for Trustworthy Medical AI",agent_system,72.5,invalid_evidence_dropped
medchain-bridging-the-gap-between-llm-agents-and-clinical-practice-with-interact,MedChain: Bridging the Gap Between LLM Agents and Clinical Practice with Interactive Sequence,benchmark,57.5,low_dimension_confidence; low_paper_type_confidence
medclarify-an-information-seeking-ai-agent-for-medical-diagnosis-with-case-speci,MedClarify: An information-seeking AI agent for medical diagnosis with case-specific follow-up questions,agent_system,35.0,score_affecting_response_repair
medcog-maximizing-llm-inference-density-in-medical-reasoning-via-meta-cognitive-,MedCoG: Maximizing LLM Inference Density in Medical Reasoning via Meta-Cognitive Regulation,method_model,67.5,score_affecting_response_repair; invalid_evidence_dropped
medcollab-causal-driven-multi-agent-collaboration-for-full-cycle-clinical-diagno,MedCollab: Causal-Driven Multi-Agent Collaboration for Full-Cycle Clinical Diagnosis via IBIS-Structured Argumentation,agent_system,35.0,score_affecting_response_repair
medconsultbench-a-full-cycle-fine-grained-process-aware-benchmark-for-medical-co,"MedConsultBench: A Full-Cycle, Fine-Grained, Process-Aware Benchmark for Medical Consultation Agents",benchmark,87.5,low_dimension_confidence
meddcr-learning-to-design-agenic-workflows-for-medical-coding,MedDCR: Learning to Design Agenic Workflows for Medical Coding,agent_system,62.5,low_dimension_confidence
medeyes-learning-dynamic-visual-focus-for-medical-progressive-diagnosis,MedEyes: Learning Dynamic Visual Focus for Medical Progressive Diagnosis,method_model,77.5,invalid_evidence_dropped
medorch-medical-diagnosis-with-tool-augmented-reasoning-agents-for-flexible-exte,MedOrch: Medical Diagnosis with Tool-Augmented Reasoning Agents for Flexible Extensibility,agent_system,62.5,invalid_evidence_dropped
medrax-medical-reasoning-agent-for-chest-x-ray,MedRAX: Medical Reasoning Agent for Chest X-ray,agent_system,77.5,score_affecting_response_repair; invalid_evidence_dropped
medresearcher-r1-expert-level-medical-deep-researcher-via-a-knowledge-informed-t,MedResearcher-R1: Expert-Level Medical Deep Researcher via A Knowledge-Informed Trajectory Synthesis Framework,method_model,35.0,low_dimension_confidence; low_paper_type_confidence; score_affecting_response_repair
medsam-agent-empowering-interactive-medical-image-segmentation-with-multi-turn-a,MedSAM-Agent: Empowering Interactive Medical Image Segmentation with Multi-turn Agenic Reinforcement Learning,method_model,67.5,low_dimension_confidence; low_paper_type_confidence; invalid_evidence_dropped
medscope-incentivizing-think-with-videos-for-clinical-reasoning-via-coarse-to-fi,"MedScope: Incentivizing ""Think with Videos"" for Clinical Reasoning via Coarse-to-Fine Tool Calling",method_model,77.5,invalid_evidence_dropped
mentalagora-a-gateway-to-advanced-personalized-care-in-mental-health-through-mul,MentalAgora: A Gateway to Advanced Personalized Care in Mental Health through Multi-Agent Debating and Attribute Control,method_model,55.0,low_dimension_confidence; low_paper_type_confidence; score_affecting_response_repair; invalid_evidence_dropped
multi-agent-intelligence-for-multidisciplinary-decision-making-in-gastrointestin,Multi-Agent Intelligence for Multidisciplinary Decision-Making in Gastrointestinal Oncology,agent_system,55.0,score_affecting_response_repair; invalid_evidence_dropped
