paper_id,title,paper_type,baseline_paper_type,paper_type_disagreement,paper_type_confidence,status,total_score,rubric_version,prompt_version,human_verification_status,requires_human_review,human_review_reasons,error,runtime_architecture,evaluation,provenance_reproducibility,governance_safety,benchmark_process_alignment
a-multimodal-multi-agent-framework-for-radiology-report-generation,A MULTIMODAL MULTI-AGENT FRAMEWORK FOR RADIOLOGY REPORT GENERATION,agent_system,agent_system,False,0.9,judged,57.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence,,partial,present,partial,missing,present
a-survey-of-llm-based-agents-in-medicine,A Survey of LLM-based Agents in Medicine,survey_review,survey_review,False,0.9,judged,86.67,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,not_applicable,present,partial,present,present
a-survey-on-medical-large-language-models-technology-application-trustworthiness,"A Survey on Medical Large Language Models: Technology, Application, Trustworthiness, and Future Directions",survey_review,survey_review,False,0.9,judged,0.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,score_affecting_response_repair,,not_applicable,missing,missing,missing,missing
a-survey-on-the-memory-mechanism-of-large-language-model-based-agents,A Survey on the Memory Mechanism of Large Language Model based Agents,survey_review,survey_review,False,0.9,judged,50.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,not_applicable,partial,partial,partial,partial
adaptive-reasoning-and-acting-in-medical-language-agents,Adaptive Reasoning and Acting in Medical Language Agents,agent_system,agent_system,False,0.78,judged,30.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence; low_paper_type_confidence,,partial,partial,missing,missing,partial
adasearch-balancing-parametric-knowledge-and-search-in-large-language-models-via,ADASEARCH: BALANCING PARAMETRIC KNOWLEDGE AND SEARCH IN LARGE LANGUAGE MODELS VIA REINFORCEMENT LEARNING,method_model,agent_system,True,0.79,judged,35.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_paper_type_confidence; score_affecting_response_repair,,missing,present,missing,missing,present
advancing-ai-trustworthiness-through-patient-simulation-risk-assessment-of-conve,Advancing AI Trustworthiness Through Patient Simulation: Risk Assessment of Conversational Agents for Antidepressant Selection,benchmark,agent_system,True,0.8,judged,77.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,partial,present,present,partial,present
agent-ai-with-langgraph-a-modular-framework-for-enhancing-machine-translation-us,Agent AI with LangGraph: A Modular Framework for Enhancing Machine Translation Using Large Language Models,agent_system,agent_system,False,0.79,judged,62.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence; low_paper_type_confidence,,partial,present,partial,partial,partial
agent-hospital-a-simulacrum-of-hospital-with-evolvable-medical-agents,Agent Hospital: A Simulacrum of Hospital with Evolvable Medical Agents,agent_system,agent_system,False,0.86,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,invalid_evidence_dropped,,partial,present,partial,partial,present
agent-based-feature-generation-from-clinical-notes-for-outcome-prediction,Agent-Based Feature Generation from Clinical Notes for Outcome Prediction,agent_system,agent_system,False,0.86,judged,50.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,partial,partial,partial,partial,partial
agentclinic-a-multimodal-agent-benchmark-to-evaluate-ai-in-simulated-clinical-en,AgentClinic: a multimodal agent benchmark to evaluate AI in simulated clinical environments,benchmark,benchmark,False,0.9,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,invalid_evidence_dropped,,partial,present,partial,partial,present
agentehr-advancing-autonomous-clinical-decision-making-via-retrospective-summari,AGENTEHR: Advancing Autonomous Clinical Decision-Making via Retrospective Summarization,benchmark,agent_system,True,0.79,judged,77.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence; low_paper_type_confidence,,partial,present,present,partial,present
agentic-ai-and-the-rise-of-in-silico-team-science-in-biomedical-research,Agentic AI and the rise of in silico team science in biomedical research,conceptual_commentary,survey_review,True,0.86,judged,80.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,not_applicable,not_applicable,partial,present,present
agentic-ai-governance-and-lifecycle-management-in-healthcare,AGENTIC AI GOVERNANCE AND LIFECYCLE MANAGEMENT IN HEALTHCARE,governance_policy,agent_system,True,0.86,judged,46.67,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,score_affecting_response_repair,,not_applicable,missing,partial,present,partial
agentic-ai-medical-morality-and-the-transformation-of-the-patient-physician-rela,"Agentic AI, Medical Morality, and the Transformation of the Patient-Physician Relationship",conceptual_commentary,agent_system,True,0.9,judged,75.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,not_applicable,not_applicable,partial,present,not_applicable
agentic-llm-workflows-for-generating-patient-friendly-medical-reports,Agentic LLM Workflows for Generating Patient-Friendly Medical Reports,agent_system,agent_system,False,0.86,judged,80.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,present,present,partial,partial,present
agentic-medical-knowledge-graphs-enhance-medical-question-answering-bridging-the,Agentic Medical Knowledge Graphs Enhance Medical Question Answering: Bridging the Gap Between LLMs and Evolving Medical Knowledge,method_model,agent_system,True,0.79,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_paper_type_confidence,,partial,present,partial,partial,present
agentic-reasoning-for-large-language-models,Agentic Reasoning for Large Language Models,survey_review,agent_system,True,0.86,judged,86.67,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,not_applicable,present,partial,present,present
agentic-reasoning-a-streamlined-framework-for-enhancing-llm-reasoning-with-agent,Agentic Reasoning: A Streamlined Framework for Enhancing LLM Reasoning with Agentic Tools,method_model,agent_system,True,0.86,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,partial,present,partial,partial,present
agentic-systems-in-radiology-design-applications-evaluation-and-challenges,"Agentic Systems in Radiology: Design, Applications, Evaluation, and Challenges",survey_review,agent_system,True,0.9,judged,40.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence; score_affecting_response_repair; invalid_evidence_dropped,,not_applicable,missing,missing,present,present
agentmd-empowering-language-agents-for-risk,AgentMD: Empowering Language Agents for Risk,agent_system,agent_system,False,0.86,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,partial,present,partial,partial,present
agentmri-a-vison-language-model-powered-ai-system-for-self-regulating-mri-recons,AgentMRI: A Vison Language Model-Powered AI System for Self-regulating MRI Reconstruction with Multiple Degradations,agent_system,agent_system,False,0.9,judged,45.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,score_affecting_response_repair; invalid_evidence_dropped,,partial,partial,partial,missing,present
agentseval-clinically-faithful-evaluation-of-medical-imaging-reports-via-multi-a,AgentsEval: Clinically Faithful Evaluation of Medical Imaging Reports via Multi-Agent Reasoning,benchmark,agent_system,True,0.79,judged,90.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence; low_paper_type_confidence,,present,present,present,partial,present
ai-agent-in-healthcare-applications-evaluations-and-future-directions,"AI agent in healthcare: applications, evaluations, and future directions",survey_review,agent_system,True,0.86,judged,26.67,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,score_affecting_response_repair; invalid_evidence_dropped,,not_applicable,missing,missing,present,missing
ai-agents-for-conversational-patient-triage-preliminary-simulation-based-evaluat,AI Agents for Conversational Patient Triage: Preliminary Simulation-Based Evaluation with Real-World EHR Data,agent_system,agent_system,False,0.86,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,partial,present,partial,partial,present
ai-agents-in-clinical-medicine-a-systematic-review,AI Agents in Clinical Medicine: A Systematic Review,survey_review,survey_review,False,0.9,judged,93.33,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,invalid_evidence_dropped,,not_applicable,present,present,present,partial
ai-hospital-benchmarking-large-language-models-in-a-multi-agent-medical-interact,AI Hospital: Benchmarking Large Language Models in a Multi-agent Medical Interaction Simulator,benchmark,benchmark,False,0.79,judged,77.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_paper_type_confidence,,partial,present,present,partial,present
ai-vaxguide-an-agentic-rag-based-llm-for-vaccination-decisions,AI-VAXGUIDE: AN AGENTIC RAG-BASED LLM FOR VACCINATION DECISIONS,agent_system,agent_system,False,0.86,judged,40.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,invalid_evidence_dropped,,partial,partial,partial,missing,partial
almanac-copilot-towards-autonomous-electronic-health-record-navigation,Almanac Copilot : Towards Autonomous Electronic Health Record Navigation,agent_system,benchmark,True,0.9,judged,77.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,score_affecting_response_repair,,present,partial,present,partial,present
alpaca-a-reinforcement-learning-environment-for-medication-repurposing-and-treat,ALPACA: A Reinforcement Learning Environment for Medication Repurposing and Treatment Optimization in Alzheimer's Disease,benchmark,benchmark,False,0.79,judged,77.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_paper_type_confidence,,partial,present,present,partial,present
an-agentic-ai-framework-for-training-general-practitioner-student-skills,An Agentic AI Framework for Training General Practitioner Student Skills,agent_system,agent_system,False,0.9,judged,75.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence; invalid_evidence_dropped,,present,present,partial,partial,partial
an-agentic-system-for-rare-disease-diagnosis-with-traceable-reasoning,An Agentic System for Rare Disease Diagnosis with Traceable Reasoning,agent_system,agent_system,False,0.9,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence,,partial,present,partial,partial,present
an-explainable-agentic-ai-framework-for-uncertainty-aware-and-abstention-enabled,An Explainable Agentic AI Framework for Uncertainty-Aware and Abstention-Enabled Acute Ischemic Stroke Imaging Decisions,agent_system,agent_system,False,0.79,judged,0.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_paper_type_confidence; score_affecting_response_repair,,missing,missing,missing,missing,not_applicable
annaagent-dynamic-evolution-agent-system-with-multi-session-memory-for-realistic,AnnaAgent: Dynamic Evolution Agent System with Multi-Session Memory for Realistic Seeker Simulation,agent_system,agent_system,False,0.86,judged,77.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence,,partial,present,partial,present,present
application-of-matec-multi-ai-agent-team-care-framework-in-sepsis-care,Application of MATEC (Multi-AI Agent Team Care) Framework in Sepsis Care,agent_system,agent_system,False,0.86,judged,62.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,partial,present,partial,partial,partial
are-vision-language-models-ready-for-clinical-diagnosis-a-3d-medical-benchmark-f,Are Vision Language Models Ready for Clinical Diagnosis? A 3D Medical Benchmark for Tumor-centric Visual Question Answering,benchmark,benchmark,False,0.9,judged,65.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence; score_affecting_response_repair; invalid_evidence_dropped,,partial,partial,present,partial,present
art-action-based-reasoning-task-benchmarking-for-medical-ai-agents,ART: Action-based Reasoning Task Benchmarking for Medical AI Agents,benchmark,benchmark,False,0.9,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,partial,present,partial,partial,present
artificial-intelligence-agents-in-healthcare-research-a-scoping-review,Artificial intelligence agents in healthcare research: A scoping review,survey_review,survey_review,False,0.9,judged,70.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,not_applicable,partial,partial,present,present
ask-patients-with-patience-enabling-llms-for-human-centric-medical-dialogue-with,Ask Patients with Patience: Enabling LLMs for Human-Centric Medical Dialogue with Grounded Reasoning,agent_system,benchmark,True,0.86,judged,55.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,score_affecting_response_repair,,partial,partial,partial,partial,present
at-cxr-uncertainty-aware-agentic-triage-for-chest-x-rays,AT-CXR: Uncertainty-Aware Agentic Triage for Chest X-rays,agent_system,agent_system,False,0.9,judged,90.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,present,present,present,partial,present
atpo-adaptive-tree-policy-optimization-for-multi-turn-medical-dialogue,ATPO: Adaptive Tree Policy Optimization for Multi-Turn Medical Dialogue,method_model,benchmark,True,0.86,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,score_affecting_response_repair; invalid_evidence_dropped,,partial,present,partial,partial,present
augmenting-large-language-models-with-chemistry-tools,Augmenting large language models with chemistry tools,agent_system,agent_system,False,0.9,judged,95.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,present,present,present,present,partial
aura-a-multi-modal-medical-agent-for-understanding-reasoning-annotation,"AURA: A Multi-Modal Medical Agent for Understanding, Reasoning & Annotation",agent_system,agent_system,False,0.9,judged,80.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence,,present,present,partial,partial,present
autocbt-an-autonomous-multi-agent-framework-for-cognitive-behavioral-therapy-in-,AutoCBT: An Autonomous Multi-agent Framework for Cognitive Behavioral Therapy in Psychological Counseling,agent_system,agent_system,False,0.86,judged,62.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,partial,present,partial,partial,partial
autoct-automating-interpretable-clinical-trial-prediction-with-llm-agents,AUTOCT: Automating Interpretable Clinical Trial Prediction with LLM Agents,method_model,agent_system,True,0.86,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence; score_affecting_response_repair,,present,partial,partial,partial,present
autogen-enabling-next-gen-llm-applications-via-multi-agent-conversation,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,agent_system,agent_system,False,0.86,judged,35.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence; score_affecting_response_repair,,missing,present,missing,missing,present
autohealth-an-uncertainty-aware-multi-agent-system-for-autonomous-health-data-mo,AutoHealth: An Uncertainty-Aware Multi-Agent System for Autonomous Health Data Modeling,agent_system,agent_system,False,0.86,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,invalid_evidence_dropped,,partial,present,partial,partial,present
automated-clinical-problem-detection-from-soap-notes-using-a-collaborative-multi,Automated Clinical Problem Detection from SOAP Notes using a Collaborative Multi-Agent LLM Architecture,agent_system,agent_system,False,0.9,judged,85.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,present,present,present,partial,partial
automated-rubrics-for-reliable-evaluation-of-medical-dialogue-systems,Automated Rubrics for Reliable Evaluation of Medical Dialogue Systems,method_model,agent_system,True,0.79,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence; low_paper_type_confidence; invalid_evidence_dropped,,partial,present,partial,partial,present
automedic-an-automated-evaluation-framework-for-clinical-conversational-agents-w,AutoMedic: An Automated Evaluation Framework for Clinical Conversational Agents with Medical Dataset Grounding,benchmark,agent_system,True,0.86,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,partial,present,partial,partial,present
autonomous-radiotherapy-treatment-planning-using-dola-a-privacy-preserving-llm-b,"Autonomous Radiotherapy Treatment Planning Using DOLA: A Privacy-Preserving, LLM-Based Optimization Agent",agent_system,agent_system,False,0.9,judged,75.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence,,present,present,partial,partial,partial
bayesian-orchestration-of-multi-llm-agents-for-cost-awaresequentialdecision-maki,BAYESIAN ORCHESTRATION OF MULTI-LLM AGENTS FOR COST-AWARESEQUENTIALDECISION-MAKING,method_model,agent_system,True,0.86,judged,62.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,partial,present,partial,partial,partial
agentarena,Benchmarking AI Agents for Addressing Scientific Challenges Across Scales,benchmark,benchmark,False,0.86,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,partial,present,partial,partial,present
benchmarking-large-language-models-on-communicative-medical-coaching-a-dataset-a,Benchmarking Large Language Models on Communicative Medical Coaching: A Dataset and a Novel System,benchmark,benchmark,False,0.83,judged,35.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,score_affecting_response_repair,,missing,present,missing,missing,present
benchmarking-retrieval-augmented-generation-for-medicine,Benchmarking Retrieval-Augmented Generation for Medicine,benchmark,benchmark,False,0.86,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence,,partial,present,partial,partial,present
beyond-direct-diagnosis-llm-based-multi-specialist-agent-consultation-for-automa,Beyond Direct Diagnosis: LLM-based Multi-Specialist Agent Consultation for Automatic Diagnosis,method_model,agent_system,True,0.86,judged,50.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence; score_affecting_response_repair; invalid_evidence_dropped,,partial,partial,partial,partial,partial
bidirectional-human-ai-collaboration-in-brain-tumour-assessments-improves-both-e,Bidirectional human-AI collaboration in brain tumour assessments improves both expert human and AI agent performance,agent_system,agent_system,False,0.79,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence; low_paper_type_confidence; invalid_evidence_dropped,,partial,present,partial,partial,present
biorag-a-rag-llm-framework-for-biological-question-reasoning,BiorAG: A RAG-LLM Framework for Biological Question Reasoning,method_model,agent_system,True,0.86,judged,62.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,invalid_evidence_dropped,,partial,present,partial,partial,partial
bioscientist-agent-designing-llm-biomedical-agents-with-kg-augmented-rl-reasonin,BioScientist Agent: Designing LLM-Biomedical Agents with KG-Augmented RL Reasoning Modules for Drug Repurposing and Mechanistic of Action Elucidation,agent_system,agent_system,False,0.86,judged,45.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,score_affecting_response_repair,,missing,present,partial,missing,present
cactus-towards-psychological-counseling-conversations-using-cognitive-behavioral,CACTUS: Towards Psychological Counseling Conversations using Cognitive Behavioral Theory,benchmark,benchmark,False,0.79,judged,60.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence; low_paper_type_confidence; score_affecting_response_repair,,partial,partial,partial,present,partial
cami-a-counselor-agent-supporting-motivational-interviewing-through-state-infere,CAMI: A Counselor Agent Supporting Motivational Interviewing through State Inference and Topic Exploration,agent_system,agent_system,False,0.86,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,partial,present,partial,partial,present
can-agents-distinguish-visually-hard-to-separate-diseases-in-a-zero-shot-setting,Can Agents Distinguish Visually Hard-to-Separate Diseases in a Zero-Shot Setting? A Pilot Study,benchmark,agent_system,True,0.86,judged,35.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,score_affecting_response_repair,,missing,present,missing,missing,present
care-ad-a-multi-agent-large-language-model-framework-for-alzheimer-s-disease-pre,CARE-AD: a multi-agent large language model framework for Alzheimer's disease prediction using longitudinal clinical notes,agent_system,agent_system,False,0.86,judged,72.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,partial,present,present,partial,partial
care-towards-clinical-accountability-in-multi-modal-medical-reasoning-with-an-ev,CARE: TOWARDS CLINICAL ACCOUNTABILITY IN MULTI-MODAL MEDICAL REASONING WITH AN EVIDENCE-GROUNDED AGENTIC FRAMEWORK,method_model,benchmark,True,0.86,judged,55.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,score_affecting_response_repair,,missing,present,present,missing,present
causal-reinforcement-learning-based-agent-patient-interaction-with-clinical-doma,Causal Reinforcement Learning based Agent-Patient Interaction with Clinical Domain Knowledge,method_model,agent_system,True,0.79,judged,62.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence; low_paper_type_confidence,,partial,present,partial,partial,partial
causal-enhanced-ai-agents-for-medical-research-screening,Causal-Enhanced AI Agents for Medical Research Screening,agent_system,survey_review,True,0.86,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,partial,present,partial,partial,present
cellagent-an-llm-driven-multi-agent-framework-for-automated-single-cell-data-ana,CellAgent: An LLM-driven Multi-Agent Framework for Automated Single-cell Data Analysis,agent_system,agent_system,False,0.86,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence,,partial,present,partial,partial,present
chathero-a-language-agent-for-recovery-support,CHATHERO: A LANGUAGE AGENT FOR RECOVERY SUPPORT,agent_system,agent_system,False,0.9,judged,65.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence; score_affecting_response_repair,,missing,present,present,present,missing
clibench-a-multifaceted-and-multigranular-evaluation-of-large-language-models-fo,CLIBENCH: A MULTIFACeted AND MULTIGRANULAR EVALUATION OF LARGE LANGUAGE MODELS FOR CLINICAL DECISION MAKING,benchmark,benchmark,False,0.9,judged,87.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,invalid_evidence_dropped,,partial,present,present,present,present
clindef-a-dynamic-evaluation-framework-for-large-language-models-in-clinical-rea,ClinDEF: A Dynamic Evaluation Framework for Large Language Models in Clinical Reasoning,benchmark,agent_system,True,0.86,judged,77.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence,,partial,present,present,partial,present
clinical-reality-vs-computational-promise-scoping-review-of-agentic-ai-systems-i,Clinical Reality vs. Computational Promise: Scoping Review of Agentic AI Systems in Healthcare,survey_review,survey_review,False,0.9,judged,63.33,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence,,not_applicable,partial,partial,present,partial
clinicalagent-clinical-trial-multi-agent-system-with-large-language-model-based-,ClinicalAgent: Clinical Trial Multi-Agent System with Large Language Model-based Reasoning,agent_system,agent_system,False,0.9,judged,40.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,partial,partial,partial,missing,partial
clinicallab-aligning-agents-for-multi-departmental-clinical-diagnostics-in-the-r,ClinicalLab: Aligning Agents for Multi-Departmental Clinical Diagnostics in the Real World,benchmark,agent_system,True,0.79,judged,87.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_paper_type_confidence; invalid_evidence_dropped,,partial,present,present,present,present
clinnoteagents-an-llm-multi-agent-system-for-predicting-and-interpreting-heart-f,ClinNoteAgents: An LLM Multi-Agent System for Predicting and Interpreting Heart Failure 30-Day Readmission from Clinical Notes,agent_system,agent_system,False,0.9,judged,45.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_dimension_confidence; score_affecting_response_repair,,missing,present,missing,present,missing
