module,source,mapping_type,target,file
health,health:ClinicalUseCase,skos:relatedMatch,gov:NISTMap,ontology/alignments/agento-align-nist-rmf.ttl
health,health:PatientPopulation,skos:relatedMatch,gov:NISTMap,ontology/alignments/agento-align-nist-rmf.ttl
health,health:HealthDataSource,skos:relatedMatch,gov:NISTMap,ontology/alignments/agento-align-nist-rmf.ttl
gov,gov:Risk,skos:relatedMatch,gov:NISTMap,ontology/alignments/agento-align-nist-rmf.ttl
eval,eval:EvaluationStudy,skos:relatedMatch,gov:NISTMeasure,ontology/alignments/agento-align-nist-rmf.ttl
eval,eval:Metric,skos:relatedMatch,gov:NISTMeasure,ontology/alignments/agento-align-nist-rmf.ttl
eval,eval:MetricResult,skos:relatedMatch,gov:NISTMeasure,ontology/alignments/agento-align-nist-rmf.ttl
eval,eval:SafetyMetric,skos:relatedMatch,gov:NISTMeasure,ontology/alignments/agento-align-nist-rmf.ttl
eval,eval:FailureCase,skos:relatedMatch,gov:NISTMeasure,ontology/alignments/agento-align-nist-rmf.ttl
eval,eval:BiasAssessment,skos:relatedMatch,gov:NISTMeasure,ontology/alignments/agento-align-nist-rmf.ttl
gov,gov:EscalationEvent,skos:relatedMatch,gov:NISTManage,ontology/alignments/agento-align-nist-rmf.ttl
gov,gov:FallbackStrategy,skos:relatedMatch,gov:NISTManage,ontology/alignments/agento-align-nist-rmf.ttl
gov,gov:MonitoringRule,skos:relatedMatch,gov:NISTManage,ontology/alignments/agento-align-nist-rmf.ttl
gov,gov:Incident,skos:relatedMatch,gov:NISTManage,ontology/alignments/agento-align-nist-rmf.ttl
gov,gov:OverrideAction,skos:relatedMatch,gov:NISTManage,ontology/alignments/agento-align-nist-rmf.ttl
core,core:Agent,rdfs:subClassOf,prov:Agent,ontology/alignments/agento-align-prov.ttl
core,core:AgentSystem,rdfs:subClassOf,prov:Agent,ontology/alignments/agento-align-prov.ttl
core,core:HumanAgent,rdfs:subClassOf,prov:Agent,ontology/alignments/agento-align-prov.ttl
core,core:OrganizationAgent,rdfs:subClassOf,prov:Agent,ontology/alignments/agento-align-prov.ttl
report,report:AssessmentAgent,rdfs:subClassOf,prov:Agent,ontology/alignments/agento-align-prov.ttl
core,core:ExecutionRun,rdfs:subClassOf,prov:Activity,ontology/alignments/agento-align-prov.ttl
core,core:WorkflowStep,rdfs:subClassOf,prov:Activity,ontology/alignments/agento-align-prov.ttl
core,core:ToolInvocation,rdfs:subClassOf,prov:Activity,ontology/alignments/agento-align-prov.ttl
report,report:ReportingAssessmentActivity,rdfs:subClassOf,prov:Activity,ontology/alignments/agento-align-prov.ttl
core,core:Artifact,rdfs:subClassOf,prov:Entity,ontology/alignments/agento-align-prov.ttl
core,core:Observation,rdfs:subClassOf,prov:Entity,ontology/alignments/agento-align-prov.ttl
core,core:ProposedAction,rdfs:subClassOf,prov:Entity,ontology/alignments/agento-align-prov.ttl
core,core:AIModelSpecification,rdfs:subClassOf,prov:Entity,ontology/alignments/agento-align-prov.ttl
core,core:ModelDeployment,rdfs:subClassOf,prov:Entity,ontology/alignments/agento-align-prov.ttl
core,core:GeneratedModelOutput,rdfs:subClassOf,prov:Entity,ontology/alignments/agento-align-prov.ttl
doc,doc:LineageTrace,rdfs:subClassOf,prov:Entity,ontology/alignments/agento-align-prov.ttl
report,report:AgentSystemReport,rdfs:subClassOf,prov:Entity,ontology/alignments/agento-align-prov.ttl
report,report:ModelCardReport,rdfs:subClassOf,prov:Entity,ontology/alignments/agento-align-prov.ttl
report,report:EvidenceStatement,rdfs:subClassOf,prov:Entity,ontology/alignments/agento-align-prov.ttl
report,report:ReportingCompletenessAssessment,rdfs:subClassOf,prov:Entity,ontology/alignments/agento-align-prov.ttl
doc,doc:derivedFrom,rdfs:subPropertyOf,prov:wasDerivedFrom,ontology/alignments/agento-align-prov.ttl
core,core:usesModelDeployment,rdfs:subPropertyOf,prov:used,ontology/alignments/agento-align-prov.ttl
core,core:usesModelInputArtifact,rdfs:subPropertyOf,prov:used,ontology/alignments/agento-align-prov.ttl
report,report:usedReport,rdfs:subPropertyOf,prov:used,ontology/alignments/agento-align-prov.ttl
report,report:usedReportingProfile,rdfs:subPropertyOf,prov:used,ontology/alignments/agento-align-prov.ttl
core,core:generatedModelOutput,rdfs:subPropertyOf,prov:generated,ontology/alignments/agento-align-prov.ttl
report,report:generatedAssessment,rdfs:subPropertyOf,prov:generated,ontology/alignments/agento-align-prov.ttl
core,core:hasDeveloper,rdfs:subPropertyOf,prov:wasAttributedTo,ontology/alignments/agento-align-prov.ttl
core,core:hasProvider,rdfs:subPropertyOf,prov:wasAttributedTo,ontology/alignments/agento-align-prov.ttl
report,report:associatedWithAssessor,rdfs:subPropertyOf,prov:wasAssociatedWith,ontology/alignments/agento-align-prov.ttl
report,report:generatedByAssessmentActivity,rdfs:subPropertyOf,prov:wasGeneratedBy,ontology/alignments/agento-align-prov.ttl
core,core:usesTool,skos:relatedMatch,prov:used,ontology/alignments/agento-align-prov.ttl
core,core:produces,skos:relatedMatch,prov:generated,ontology/alignments/agento-align-prov.ttl
core,core:producesArtifact,skos:relatedMatch,prov:generated,ontology/alignments/agento-align-prov.ttl
core,core:executedInRun,skos:relatedMatch,prov:wasInformedBy,ontology/alignments/agento-align-prov.ttl
core,core:performedBy,skos:relatedMatch,prov:wasAssociatedWith,ontology/alignments/agento-align-prov.ttl
eval,eval:derivedFromRun,skos:relatedMatch,prov:wasGeneratedBy,ontology/alignments/agento-align-prov.ttl
core,core:Tool,rdfs:subClassOf,swo:SWO_0000001,ontology/alignments/agento-align-swo.ttl
core,core:Script,rdfs:subClassOf,swo:SWO_0000001,ontology/alignments/agento-align-swo.ttl
core,core:modelVersion,rdfs:subPropertyOf,swo:SWO_0004000,ontology/alignments/agento-align-swo.ttl
core,core:hasDeveloper,rdfs:subPropertyOf,swo:SWO_0000394,ontology/alignments/agento-align-swo.ttl
doc,doc:License,skos:closeMatch,swo:SWO_0000002,ontology/alignments/agento-align-swo.ttl
core,core:ExecutionUnit,skos:relatedMatch,swo:SWO_0000001,ontology/alignments/agento-align-swo.ttl
core,core:AIModelSpecification,skos:relatedMatch,swo:SWO_0000001,ontology/alignments/agento-align-swo.ttl
core,core:ModelDeployment,skos:relatedMatch,swo:SWO_0000001,ontology/alignments/agento-align-swo.ttl
core,core:ExecutionEnvironment,skos:relatedMatch,swo:SWO_9000050,ontology/alignments/agento-align-swo.ttl
core,core:ModelInterfaceSpecification,skos:relatedMatch,swo:SWO_9000050,ontology/alignments/agento-align-swo.ttl
core,core:hasVersion,skos:relatedMatch,swo:SWO_0004000,ontology/alignments/agento-align-swo.ttl
doc,doc:VersionInfo,skos:relatedMatch,swo:SWO_0004000,ontology/alignments/agento-align-swo.ttl
core,core:hasProvider,skos:relatedMatch,swo:SWO_0004004,ontology/alignments/agento-align-swo.ttl
core,core:implementedBy,skos:relatedMatch,swo:SWO_0000740,ontology/alignments/agento-align-swo.ttl
gov,gov:WHOHumanAutonomy,skos:exactMatch,<https://www.who.int/publications/i/item/9789240029200>,ontology/alignments/agento-align-who-health-ai.ttl
gov,gov:WHOTransparencyExplainability,skos:exactMatch,<https://www.who.int/publications/i/item/9789240029200>,ontology/alignments/agento-align-who-health-ai.ttl
gov,gov:WHOResponsibilityAccountability,skos:exactMatch,<https://www.who.int/publications/i/item/9789240029200>,ontology/alignments/agento-align-who-health-ai.ttl
gov,gov:WHOInclusivenessEquity,skos:exactMatch,<https://www.who.int/publications/i/item/9789240029200>,ontology/alignments/agento-align-who-health-ai.ttl
gov,gov:WHOSafetyPrivacy,skos:exactMatch,<https://www.who.int/publications/i/item/9789240029200>,ontology/alignments/agento-align-who-health-ai.ttl
gov,gov:HumanAutonomyRequirement,skos:relatedMatch,gov:WHOHumanAutonomy,ontology/alignments/agento-align-who-health-ai.ttl
health,health:PatientFacingAgent,skos:relatedMatch,gov:WHOHumanAutonomy,ontology/alignments/agento-align-who-health-ai.ttl
gov,gov:TransparencyRequirement,skos:relatedMatch,gov:WHOTransparencyExplainability,ontology/alignments/agento-align-who-health-ai.ttl
gov,gov:ExplainabilityRequirement,skos:relatedMatch,gov:WHOTransparencyExplainability,ontology/alignments/agento-align-who-health-ai.ttl
health,health:PatientFacingAgent,skos:relatedMatch,gov:WHOTransparencyExplainability,ontology/alignments/agento-align-who-health-ai.ttl
gov,gov:AccountabilityRequirement,skos:relatedMatch,gov:WHOResponsibilityAccountability,ontology/alignments/agento-align-who-health-ai.ttl
health,health:ClinicalDecisionSupportAgent,skos:relatedMatch,gov:WHOResponsibilityAccountability,ontology/alignments/agento-align-who-health-ai.ttl
gov,gov:EquityRequirement,skos:relatedMatch,gov:WHOInclusivenessEquity,ontology/alignments/agento-align-who-health-ai.ttl
gov,gov:SafetyRequirement,skos:relatedMatch,gov:WHOSafetyPrivacy,ontology/alignments/agento-align-who-health-ai.ttl
gov,gov:PrivacyRequirement,skos:relatedMatch,gov:WHOSafetyPrivacy,ontology/alignments/agento-align-who-health-ai.ttl
health,health:ClinicalDecisionSupportAgent,skos:relatedMatch,gov:WHOSafetyPrivacy,ontology/alignments/agento-align-who-health-ai.ttl
