no,paper_id,title,paper_type,completeness_score
13,a-survey-on-medical-large-language-models-technology-application-trustworthiness,"A Survey on Medical Large Language Models: Technology, Application, Trustworthiness, and Future Directions",survey_review,0.0
14,a-survey-on-the-memory-mechanism-of-large-language-model-based-agents,A Survey on the Memory Mechanism of Large Language Model based Agents,survey_review,50.0
15,adaptive-reasoning-and-acting-in-medical-language-agents,Adaptive Reasoning and Acting in Medical Language Agents,agent_system,30.0
16,adasearch-balancing-parametric-knowledge-and-search-in-large-language-models-via,ADASEARCH: BALANCING PARAMETRIC KNOWLEDGE AND SEARCH IN LARGE LANGUAGE MODELS VIA REINFORCEMENT LEARNING,method_model,35.0
17,advancing-ai-trustworthiness-through-patient-simulation-risk-assessment-of-conve,Advancing AI Trustworthiness Through Patient Simulation: Risk Assessment of Conversational Agents for Antidepressant Selection,benchmark,77.5
18,agent-ai-with-langgraph-a-modular-framework-for-enhancing-machine-translation-us,Agent AI with LangGraph: A Modular Framework for Enhancing Machine Translation Using Large Language Models,agent_system,62.5
19,agent-hospital-a-simulacrum-of-hospital-with-evolvable-medical-agents,Agent Hospital: A Simulacrum of Hospital with Evolvable Medical Agents,agent_system,67.5
20,agent-based-feature-generation-from-clinical-notes-for-outcome-prediction,Agent-Based Feature Generation from Clinical Notes for Outcome Prediction,agent_system,50.0
21,agentclinic-a-multimodal-agent-benchmark-to-evaluate-ai-in-simulated-clinical-en,AgentClinic: a multimodal agent benchmark to evaluate AI in simulated clinical environments,benchmark,67.5
22,agentehr-advancing-autonomous-clinical-decision-making-via-retrospective-summari,AGENTEHR: Advancing Autonomous Clinical Decision-Making via Retrospective Summarization,benchmark,77.5
23,agentic-ai-and-the-rise-of-in-silico-team-science-in-biomedical-research,Agentic AI and the rise of in silico team science in biomedical research,conceptual_commentary,80.0
24,agentic-ai-governance-and-lifecycle-management-in-healthcare,AGENTIC AI GOVERNANCE AND LIFECYCLE MANAGEMENT IN HEALTHCARE,governance_policy,46.67
25,agentic-ai-medical-morality-and-the-transformation-of-the-patient-physician-rela,"Agentic AI, Medical Morality, and the Transformation of the Patient-Physician Relationship",conceptual_commentary,75.0
26,agentic-llm-workflows-for-generating-patient-friendly-medical-reports,Agentic LLM Workflows for Generating Patient-Friendly Medical Reports,agent_system,80.0
27,agentic-medical-knowledge-graphs-enhance-medical-question-answering-bridging-the,Agentic Medical Knowledge Graphs Enhance Medical Question Answering: Bridging the Gap Between LLMs and Evolving Medical Knowledge,method_model,67.5
28,agentic-reasoning-for-large-language-models,Agentic Reasoning for Large Language Models,survey_review,86.67
29,agentic-reasoning-a-streamlined-framework-for-enhancing-llm-reasoning-with-agent,Agentic Reasoning: A Streamlined Framework for Enhancing LLM Reasoning with Agentic Tools,method_model,67.5
30,agentic-systems-in-radiology-design-applications-evaluation-and-challenges,"Agentic Systems in Radiology: Design, Applications, Evaluation, and Challenges",survey_review,40.0
31,agentmd-empowering-language-agents-for-risk,AgentMD: Empowering Language Agents for Risk,agent_system,67.5
32,agentmri-a-vison-language-model-powered-ai-system-for-self-regulating-mri-recons,AgentMRI: A Vison Language Model-Powered AI System for Self-regulating MRI Reconstruction with Multiple Degradations,agent_system,45.0
33,agentseval-clinically-faithful-evaluation-of-medical-imaging-reports-via-multi-a,AgentsEval: Clinically Faithful Evaluation of Medical Imaging Reports via Multi-Agent Reasoning,benchmark,90.0
34,ai-agent-in-healthcare-applications-evaluations-and-future-directions,"AI agent in healthcare: applications, evaluations, and future directions",survey_review,26.67
35,ai-agents-for-conversational-patient-triage-preliminary-simulation-based-evaluat,AI Agents for Conversational Patient Triage: Preliminary Simulation-Based Evaluation with Real-World EHR Data,agent_system,67.5
36,ai-agents-in-clinical-medicine-a-systematic-review,AI Agents in Clinical Medicine: A Systematic Review,survey_review,93.33
37,ai-hospital-benchmarking-large-language-models-in-a-multi-agent-medical-interact,AI Hospital: Benchmarking Large Language Models in a Multi-agent Medical Interaction Simulator,benchmark,77.5
38,ai-vaxguide-an-agentic-rag-based-llm-for-vaccination-decisions,AI-VAXGUIDE: AN AGENTIC RAG-BASED LLM FOR VACCINATION DECISIONS,agent_system,40.0
39,almanac-copilot-towards-autonomous-electronic-health-record-navigation,Almanac Copilot : Towards Autonomous Electronic Health Record Navigation,agent_system,77.5
40,alpaca-a-reinforcement-learning-environment-for-medication-repurposing-and-treat,ALPACA: A Reinforcement Learning Environment for Medication Repurposing and Treatment Optimization in Alzheimer's Disease,benchmark,77.5
41,an-agentic-ai-framework-for-training-general-practitioner-student-skills,An Agentic AI Framework for Training General Practitioner Student Skills,agent_system,75.0
42,an-agentic-system-for-rare-disease-diagnosis-with-traceable-reasoning,An Agentic System for Rare Disease Diagnosis with Traceable Reasoning,agent_system,67.5
43,an-explainable-agentic-ai-framework-for-uncertainty-aware-and-abstention-enabled,An Explainable Agentic AI Framework for Uncertainty-Aware and Abstention-Enabled Acute Ischemic Stroke Imaging Decisions,agent_system,0.0
44,annaagent-dynamic-evolution-agent-system-with-multi-session-memory-for-realistic,AnnaAgent: Dynamic Evolution Agent System with Multi-Session Memory for Realistic Seeker Simulation,agent_system,77.5
45,application-of-matec-multi-ai-agent-team-care-framework-in-sepsis-care,Application of MATEC (Multi-AI Agent Team Care) Framework in Sepsis Care,agent_system,62.5
46,are-vision-language-models-ready-for-clinical-diagnosis-a-3d-medical-benchmark-f,Are Vision Language Models Ready for Clinical Diagnosis? A 3D Medical Benchmark for Tumor-centric Visual Question Answering,benchmark,65.0
47,art-action-based-reasoning-task-benchmarking-for-medical-ai-agents,ART: Action-based Reasoning Task Benchmarking for Medical AI Agents,benchmark,67.5
48,artificial-intelligence-agents-in-healthcare-research-a-scoping-review,Artificial intelligence agents in healthcare research: A scoping review,survey_review,70.0
49,ask-patients-with-patience-enabling-llms-for-human-centric-medical-dialogue-with,Ask Patients with Patience: Enabling LLMs for Human-Centric Medical Dialogue with Grounded Reasoning,agent_system,55.0
50,at-cxr-uncertainty-aware-agentic-triage-for-chest-x-rays,AT-CXR: Uncertainty-Aware Agentic Triage for Chest X-rays,agent_system,90.0
51,atpo-adaptive-tree-policy-optimization-for-multi-turn-medical-dialogue,ATPO: Adaptive Tree Policy Optimization for Multi-Turn Medical Dialogue,method_model,67.5
52,augmenting-large-language-models-with-chemistry-tools,Augmenting large language models with chemistry tools,agent_system,95.0
53,aura-a-multi-modal-medical-agent-for-understanding-reasoning-annotation,"AURA: A Multi-Modal Medical Agent for Understanding, Reasoning & Annotation",agent_system,80.0
54,autocbt-an-autonomous-multi-agent-framework-for-cognitive-behavioral-therapy-in-,AutoCBT: An Autonomous Multi-agent Framework for Cognitive Behavioral Therapy in Psychological Counseling,agent_system,62.5
55,autoct-automating-interpretable-clinical-trial-prediction-with-llm-agents,AUTOCT: Automating Interpretable Clinical Trial Prediction with LLM Agents,method_model,67.5
56,autogen-enabling-next-gen-llm-applications-via-multi-agent-conversation,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,agent_system,35.0
57,autohealth-an-uncertainty-aware-multi-agent-system-for-autonomous-health-data-mo,AutoHealth: An Uncertainty-Aware Multi-Agent System for Autonomous Health Data Modeling,agent_system,67.5
58,automated-clinical-problem-detection-from-soap-notes-using-a-collaborative-multi,Automated Clinical Problem Detection from SOAP Notes using a Collaborative Multi-Agent LLM Architecture,agent_system,85.0
59,automated-rubrics-for-reliable-evaluation-of-medical-dialogue-systems,Automated Rubrics for Reliable Evaluation of Medical Dialogue Systems,method_model,67.5
60,automedic-an-automated-evaluation-framework-for-clinical-conversational-agents-w,AutoMedic: An Automated Evaluation Framework for Clinical Conversational Agents with Medical Dataset Grounding,benchmark,67.5
61,autonomous-radiotherapy-treatment-planning-using-dola-a-privacy-preserving-llm-b,"Autonomous Radiotherapy Treatment Planning Using DOLA: A Privacy-Preserving, LLM-Based Optimization Agent",agent_system,75.0
62,bayesian-orchestration-of-multi-llm-agents-for-cost-awaresequentialdecision-maki,BAYESIAN ORCHESTRATION OF MULTI-LLM AGENTS FOR COST-AWARESEQUENTIALDECISION-MAKING,method_model,62.5
63,agentarena,Benchmarking AI Agents for Addressing Scientific Challenges Across Scales,benchmark,67.5
64,benchmarking-large-language-models-on-communicative-medical-coaching-a-dataset-a,Benchmarking Large Language Models on Communicative Medical Coaching: A Dataset and a Novel System,benchmark,35.0
65,benchmarking-retrieval-augmented-generation-for-medicine,Benchmarking Retrieval-Augmented Generation for Medicine,benchmark,67.5
66,beyond-direct-diagnosis-llm-based-multi-specialist-agent-consultation-for-automa,Beyond Direct Diagnosis: LLM-based Multi-Specialist Agent Consultation for Automatic Diagnosis,method_model,50.0
67,bidirectional-human-ai-collaboration-in-brain-tumour-assessments-improves-both-e,Bidirectional human-AI collaboration in brain tumour assessments improves both expert human and AI agent performance,agent_system,67.5
68,biorag-a-rag-llm-framework-for-biological-question-reasoning,BiorAG: A RAG-LLM Framework for Biological Question Reasoning,method_model,62.5
69,bioscientist-agent-designing-llm-biomedical-agents-with-kg-augmented-rl-reasonin,BioScientist Agent: Designing LLM-Biomedical Agents with KG-Augmented RL Reasoning Modules for Drug Repurposing and Mechanistic of Action Elucidation,agent_system,45.0
70,cactus-towards-psychological-counseling-conversations-using-cognitive-behavioral,CACTUS: Towards Psychological Counseling Conversations using Cognitive Behavioral Theory,benchmark,60.0
71,cami-a-counselor-agent-supporting-motivational-interviewing-through-state-infere,CAMI: A Counselor Agent Supporting Motivational Interviewing through State Inference and Topic Exploration,agent_system,67.5
72,can-agents-distinguish-visually-hard-to-separate-diseases-in-a-zero-shot-setting,Can Agents Distinguish Visually Hard-to-Separate Diseases in a Zero-Shot Setting? A Pilot Study,benchmark,35.0
73,care-ad-a-multi-agent-large-language-model-framework-for-alzheimer-s-disease-pre,CARE-AD: a multi-agent large language model framework for Alzheimer's disease prediction using longitudinal clinical notes,agent_system,72.5
74,care-towards-clinical-accountability-in-multi-modal-medical-reasoning-with-an-ev,CARE: TOWARDS CLINICAL ACCOUNTABILITY IN MULTI-MODAL MEDICAL REASONING WITH AN EVIDENCE-GROUNDED AGENTIC FRAMEWORK,method_model,55.0
75,causal-reinforcement-learning-based-agent-patient-interaction-with-clinical-doma,Causal Reinforcement Learning based Agent-Patient Interaction with Clinical Domain Knowledge,method_model,62.5
76,causal-enhanced-ai-agents-for-medical-research-screening,Causal-Enhanced AI Agents for Medical Research Screening,agent_system,67.5
77,cellagent-an-llm-driven-multi-agent-framework-for-automated-single-cell-data-ana,CellAgent: An LLM-driven Multi-Agent Framework for Automated Single-cell Data Analysis,agent_system,67.5
78,chathero-a-language-agent-for-recovery-support,CHATHERO: A LANGUAGE AGENT FOR RECOVERY SUPPORT,agent_system,65.0
79,clibench-a-multifaceted-and-multigranular-evaluation-of-large-language-models-fo,CLIBENCH: A MULTIFACeted AND MULTIGRANULAR EVALUATION OF LARGE LANGUAGE MODELS FOR CLINICAL DECISION MAKING,benchmark,87.5
80,clindef-a-dynamic-evaluation-framework-for-large-language-models-in-clinical-rea,ClinDEF: A Dynamic Evaluation Framework for Large Language Models in Clinical Reasoning,benchmark,77.5
81,clinical-reality-vs-computational-promise-scoping-review-of-agentic-ai-systems-i,Clinical Reality vs. Computational Promise: Scoping Review of Agentic AI Systems in Healthcare,survey_review,63.33
82,clinicalagent-clinical-trial-multi-agent-system-with-large-language-model-based-,ClinicalAgent: Clinical Trial Multi-Agent System with Large Language Model-based Reasoning,agent_system,40.0
83,clinicallab-aligning-agents-for-multi-departmental-clinical-diagnostics-in-the-r,ClinicalLab: Aligning Agents for Multi-Departmental Clinical Diagnostics in the Real World,benchmark,87.5
84,clinnoteagents-an-llm-multi-agent-system-for-predicting-and-interpreting-heart-f,ClinNoteAgents: An LLM Multi-Agent System for Predicting and Interpreting Heart Failure 30-Day Readmission from Clinical Notes,agent_system,45.0
85,closing-reasoning-gaps-in-clinical-agents-with-differential-reasoning-learning,Closing Reasoning Gaps in Clinical Agents with Differential Reasoning Learning,method_model,50.0
86,code-like-humans-a-multi-agent-solution-for-medical-coding,Code Like Humans: A Multi-Agent Solution for Medical Coding,agent_system,70.0
87,colacare-enhancing-electronic-health-record-modeling-through-large-language-mode,ColaCare: Enhancing Electronic Health Record Modeling through Large Language Model-Driven Multi-Agent Collaboration,agent_system,55.0
88,comma-contribution-aware-medical-multi-agents-from-a-game-theoretic-perspective,CoMMa: Contribution-Aware Medical Multi-Agents From A Game-Theoretic Perspective,method_model,55.0
89,compeer-a-generative-conversational-agent-for-proactive-peer-support,ComPeer: A Generative Conversational Agent for Proactive Peer Support,agent_system,62.5
90,confagents-a-conformal-guided-multi-agent-framework-for-cost-efficient-medical-d,ConfAgents: A Conformal-Guided Multi-Agent Framework for Cost-Efficient Medical Diagnosis,method_model,35.0
91,conversational-health-agents-a-personalized-llm-powered-agent-framework,Conversational Health Agents: A Personalized LLM-Powered Agent Framework,agent_system,50.0
92,coordinated-ai-agents-for-advancing-healthcare,Coordinated AI agents for advancing healthcare,conceptual_commentary,80.0
93,cotherapist-a-behavior-aligned-small-language-model-to-support-mental-healthcare,coTherapist: A Behavior-Aligned Small Language Model to Support Mental Healthcare Experts,method_model,80.0
94,cp-env-evaluating-large-language-models-on-clinical-pathways-in-a-controllable-h,CP-Env: Evaluating Large Language Models on Clinical Pathways in a Controllable Hospital Environment,benchmark,55.0
95,cpathagent-an-agent-based-foundation-model-for-interpretable-high-resolution-pat,CPathAgent: An Agent-based Foundation Model for Interpretable High-Resolution Pathology Image Analysis Mimicking Pathologists’ Diagnostic Logic,method_model,57.5
96,crispr-gpt-for-agentic-automation-of-gene-editing-experiments,CRISPR-GPT for agentic automation of gene-editing experiments,agent_system,77.5
97,ct-agent-a-multimodal-llm-agent-for-3d-ct-radiology-question-answering,CT-Agent: A Multimodal-LLM Agent for 3D CT Radiology Question Answering,agent_system,85.0
98,dart-leveraging-multi-agent-disagreement-for-tool-recruitment-in-multimodal-reas,DART: Leveraging Multi-Agent Disagreement for Tool Recruitment in Multimodal Reasoning,method_model,35.0
99,deepmed-building-a-medical-deepresearch-agent-via-multi-hop-med-search-data-and-,DEEPMED: Building a Medical DeepResearch Agent via Multi-hop Med-Search Data and Turn-Controlled Agentic Training & Inference,method_model,65.0
100,demma-dementia-multi-turn-dialogue-agent-with-expert-guided-reasoning-and-action,DemMA: Dementia Multi-Turn Dialogue Agent with Expert-Guided Reasoning and Action Simulation,agent_system,77.5
101,dh-rag-a-dynamic-historical-context-powered-retrieval-augmented-generation-metho,DH-RAG: A Dynamic Historical Context-Powered Retrieval-Augmented Generation Method for Multi-Turn Dialogue,method_model,57.5
102,do-mixed-vendor-multi-agent-llms-improve-clinical-diagnosis,Do Mixed-Vendor Multi-Agent LLMs Improve Clinical Diagnosis?,method_model,22.5
103,doctoragent-rl-a-multi-agent-collaborative-reinforcement-learning-system-for-mul,DoctorAgent-RL: A Multi-Agent Collaborative Reinforcement Learning System for Multi-Turn Clinical Dialogue,agent_system,25.0
104,drugagent-automating-ai-aided-drug-discovery-programming-through-llm-multi-agent,DrugAgent: Automating AI-aided Drug Discovery Programming through LLM Multi-Agent Collaboration,agent_system,67.5
105,drugagent-multi-agent-large-language-model-based-reasoning-for-drug-target-inter,DRUGAGENT: MULTI-AGENT LARGE LANGUAGE MODEL-BASED REASONING FOR DRUG-TARGET INTERACTION PREDICTION,agent_system,90.0
106,ducx-decomposing-unfairness-in-tool-using-chest-x-ray-agents,DUCX: Decomposing Unfairness in Tool-Using Chest X-ray Agents,benchmark,67.5
107,efficient-and-agentic-llms-for-therapeutics,Efficient and Agentic LLMs for Therapeutics,method_model,90.0
108,ehragent-code-empowers-large-language-models-for-few-shot-complex-tabular-reason,EHRAgent: Code Empowers Large Language Models for Few-shot Complex Tabular Reasoning on Electronic Health Records,agent_system,67.5
109,ehrr-a-large-language-model-driven-iterative-multi-agent-electronic-health-recor,EHRR: A Large Language Model-Driven Iterative Multi-Agent Electronic Health Record Data Analysis Workflow,agent_system,50.0
110,emulatrx-empowering-clinical-trial-design-with-agentic-intelligence-and-real-wor,EmulatRx: Empowering Clinical Trial Design with Agentic Intelligence and Real World Data,agent_system,67.5
111,end-to-end-agentic-rag-system-training-for-traceable-diagnostic-reasoning,End-to-End Agentic RAG System Training for Traceable Diagnostic Reasoning,agent_system,77.5
112,engineering-ai-agents-for-clinical-workflows-a-case-study-in-architecture-mlops-,"Engineering AI Agents for Clinical Workflows: A Case Study in Architecture, MLOps, and Governance",agent_system,72.5
113,enhancing-diagnostic-capability-with-multi-agents-conversational-large-language-,Enhancing diagnostic capability with multi-agents conversational large language models,agent_system,80.0
114,enhancing-llms-for-impression-generation-in-radiology-reports-through-a-multi-ag,Enhancing LLMs for Impression Generation in Radiology Reports through a Multi-Agent System,agent_system,80.0
115,epidemic-modeling-with-generative-agents,Epidemic Modeling with Generative Agents,agent_system,72.5
116,evidence-based-diagnostic-reasoning-with-multi-agent-copilot-for-human-pathology,Evidence-based diagnostic reasoning with multi-agent copilot for human pathology,agent_system,30.0
117,evoclinician-a-self-evolving-agent-for-multi-turn-medical-diagnosis-via-test-tim,EvoClinician: A Self-Evolving Agent for Multi-Turn Medical Diagnosis via Test-Time Evolutionary Learning,benchmark,80.0
118,experienceweaver-optimizing-small-sample-experience-learning-for-llm-based-clini,ExperienceWeaver: Optimizing Small-sample Experience Learning for LLM-based Clinical Text Improvement,method_model,77.5
119,exploring-community-powered-conversational-agent-for-health-knowledge-acquisitio,Exploring Community-Powered Conversational Agent for Health Knowledge Acquisition: A Case Study in Colorectal Cancer,agent_system,67.5
120,exploring-llm-multi-agents-for-icd-coding,Exploring LLM Multi-Agents for ICD Coding,agent_system,62.5
121,finagent-an-agentic-ai-framework-integrating-personal-finance-and-nutrition-plan,FinAgent: An Agentic AI Framework Integrating Personal Finance and Nutrition Planning,agent_system,80.0
122,first-do-noharm-towards-clinically-safe-large-language-models,"First, do NOHARM: towards clinically safe large language models",benchmark,67.5
123,from-chatbots-to-agentic-workflows-ensuring-responsible-deployment-of-large-lang,From Chatbots to Agentic Workflows: Ensuring Responsible Deployment of Large Language Models in Radiology,governance_policy,70.0
124,from-conflict-to-consensus-boosting-medical-reasoning-via-multi-round-agentic-ra,From Conflict to Consensus: Boosting Medical Reasoning via Multi-Round Agentic RAG,method_model,55.0
125,from-ehrs-to-patient-pathways-scalable-modeling-of-longitudinal-health-trajector,From EHRs to Patient Pathways: Scalable Modeling of Longitudinal Health Trajectories with LLMs,method_model,52.5
126,geneagent-self-verification-language-agent-for-gene-set-analysis-using-domain-da,GeneAgent: self-verification language agent for gene-set analysis using domain databases,agent_system,55.0
127,generalized-nash-equilibrium-seeking-fairness-in-multiagent-healthcare-automatio,GENERALIZED NASH EQUILIBRIUM-SEEKING FAIRNESS IN MULTIAGENT HEALTHCARE AUTOMATION*,method_model,67.5
128,gmat-grounded-multi-agent-clinical-description-generation-for-text-encoder-in-vi,GMAT: Grounded Multi-Agent Clinical Description Generation for Text Encoder in Vision-Language MIL for Whole Slide Image Classification,method_model,52.5
129,goal-driven-risk-assessment-for-llm-powered-systems-a-healthcare-case-study,Goal-Driven Risk Assessment for LLM-Powered Systems: A Healthcare Case Study,method_model,61.11
130,grounded-by-experience-generative-healthcare-prediction-augmented-with-hierarchi,Grounded by Experience: Generative Healthcare Prediction Augmented with Hierarchical Agentic Retrieval,method_model,67.5
131,harmon-e-hierarchical-agentic-reasoning-for-multi-modal-oncology-notes-to-extrac,HARMON-E : Hierarchical Agentic Reasoning for Multi-modal Oncology Notes to Extract Structured Data,agent_system,67.5
132,heal-kggen-a-hierarchical-multi-agent-llm-framework-with-knowledge-graph-enhance,HEAL-KGGen: A Hierarchical Multi-Agent LLM Framework with Knowledge Graph Enhancement for Genetic Biomarker-Based Medical Diagnosis,agent_system,62.5
133,hecix-integrating-knowledge-graphs-and-large-language-models-for-biomedical-rese,HeCiX: Integrating Knowledge Graphs and Large Language Models for Biomedical Research,agent_system,40.0
134,human-guided-agentic-ai-for-multimodal-clinical-prediction-lessons-from-the-agen,Human-Guided Agentic AI for Multimodal Clinical Prediction: Lessons from the AgentDS Healthcare Benchmark,agent_system,67.5
135,hybrid-code-v2-zero-hallucination-clinical-icd-10-coding-via-neuro-symbolic-veri,Hybrid-Code v2: Zero-Hallucination Clinical ICD-10 Coding via Neuro-Symbolic Verification and Automated Knowledge Base Expansion,method_model,25.0
136,ibisagent-reinforcing-pixel-level-visual-reasoning-in-mllms-for-universal-biomed,IBISAgent: Reinforcing Pixel-Level Visual Reasoning in MLLMs for Universal Biomedical Object Referring and Segmentation,method_model,45.0
137,imas-a-comprehensive-agentic-approach-to-rural-healthcare-delivery,IMAS: A Comprehensive Agentic Approach to Rural Healthcare Delivery,agent_system,50.0
138,improving-the-safety-and-trustworthiness-of-medical-ai-via-multi-agent-evaluatio,Improving the Safety and Trustworthiness of Medical AI via Multi-Agent Evaluation Loops,agent_system,90.0
139,incentivizing-tool-augmented-thinking-with-images-for-medical-image-analysis,INCENTIVIZING TOOL-AUGMENTED THINKING WITH IMAGES FOR MEDICAL IMAGE ANALYSIS,method_model,35.0
140,inflerno-end-to-end-agent-based-fhir-resource-synthesis-from-free-form-clinical-,Inflerno: End-to-end Agent-based FHIR Resource Synthesis from Free-form Clinical Notes,agent_system,67.5
141,inform-ct-integrating-llms-and-vlms-for-incidental-findings-management-in-abdomi,INFORM-CT: INTEGRating LLMs and VLMs FOR Incidental Findings Management in Abdominal CT,agent_system,67.5
142,intelligent-virtual-sonographer-ivs-enhancing-physician-robot-patient-communicat,Intelligent Virtual Sonographer (IVS): Enhancing Physician-Robot-Patient Communication,agent_system,72.5
143,kerap-a-knowledge-enhanced-reasoning-approach-for-accurate-zero-shot-diagnosis-p,KERAP: A Knowledge-Enhanced Reasoning Approach for Accurate Zero-shot Diagnosis Prediction Using Multi-agent LLMs,method_model,35.0
144,kg4diagnosis-a-hierarchical-multi-agent-llm-framework-with-knowledge-graph-enhan,KG4Diagnosis: A Hierarchical Multi-Agent LLM Framework with Knowledge Graph Enhancement for Medical Diagnosis,agent_system,50.0
145,knowing-when-to-abstain-medical-llms-under-clinical-uncertainty,Knowing When to Abstain: Medical LLMs Under Clinical Uncertainty,benchmark,77.5
146,kom-a-multi-agent-artificial-intelligence-system-for-precision,KOM: A Multi-Agent Artificial Intelligence System for Precision,agent_system,90.0
147,kral-knowledge-and-reasoning-augmented-learning-for-llm-assisted-clinical-antimi,KRAL: Knowledge and Reasoning Augmented Learning for LLM-assisted Clinical Antimicrobial Therapy,method_model,77.5
148,lammi-pathology-a-tool-centric-bottom-up-lvlm-agent-framework-for-molecularly-in,LAMMI-Pathology: A Tool-Centric Bottom-Up LVLM-Agent Framework for Molecularly Informed Medical Intelligence in Pathology,agent_system,57.5
149,large-language-model-agent-for-modular-task-execution-in-drug-discovery,Large Language Model Agent for Modular Task Execution in Drug Discovery,agent_system,50.0
150,large-language-models-with-retrieval-augmented-generation-for-zero-shot-disease-,Large Language Models with Retrieval-Augmented Generation for Zero-Shot Disease Phenotyping,method_model,62.5
151,livemedbench-a-contamination-free-medical-benchmark-for-llms-with-automated-rubr,LiveMedBench: A Contamination-Free Medical Benchmark for LLMs with Automated Rubric Evaluation,benchmark,87.5
152,llama-3-1-405b-is-comparable-to-gpt-4-for-extraction-of-data-from-thrombectomy-r,Llama 3.1 405B Is Comparable to GPT-4 for Extraction of Data from Thrombectomy Reports—A Step Towards Secure Data Extraction,method_model,77.5
153,llm-agent-swarm-for-hypothesis-driven-drug-discovery,LLM Agent Swarm for Hypothesis-Driven Drug Discovery,agent_system,72.5
154,llm-based-agentic-systems-in-medicine-and-healthcare,LLM-based agentic systems in medicine and healthcare,conceptual_commentary,100.0
155,llm-based-medical-assistant-personalization-with-short-and-long-term-memory-coor,LLM-based Medical Assistant Personalization with Short- and Long-Term Memory Coordination,method_model,55.0
156,llms-can-simulate-standardized-patients-via-agent-coevolution,LLMs Can Simulate Standardized Patients via Agent Coevolution,agent_system,67.5
157,lungnoduleagent-a-collaborative-multi-agent-system-for-precision-diagnosis-of-lu,LungNoduleAgent: A Collaborative Multi-Agent System for Precision Diagnosis of Lung Nodules,agent_system,67.5
158,magda-multi-agent-guideline-driven-diagnostic-assistance,MAGDA: Multi-agent guideline-driven diagnostic assistance,agent_system,52.5
159,malade-orchestration-of-llm-powered-agents-with-retrieval-augmented-generation-f,MALADE: Orchestration of LLM-powered Agents with Retrieval Augmented Generation for Pharmacovigilance,agent_system,72.5
160,mam-modular-multi-agent-framework-for-multi-modal-medical-diagnosis-via-role-spe,MAM: Modular Multi-Agent Framework for Multi-Modal Medical Diagnosis via Role-Specialized Collaboration,agent_system,35.0
161,many-to-one-adversarial-consensus-exposing-multi-agent-collusion-risks-in-ai-bas,Many-to-One Adversarial Consensus: Exposing Multi-Agent Collusion Risks in AI-Based Healthcare,agent_system,67.5
162,mcp-ai-protocol-driven-intelligence-framework-for-autonomous-reasoning-in-health,MCP-AI: Protocol-Driven Intelligence Framework for Autonomous Reasoning in Healthcare,agent_system,60.0
163,mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making,MDAgents: An Adaptive Collaboration of LLMs for Medical Decision-Making,agent_system,55.0
164,mdteamgpt-a-self-evolving-llm-based-multi-agent-framework-for-multi-disciplinary,MDTeamGPT: A Self-Evolving LLM-based Multi-Agent Framework for Multi-Disciplinary Team Medical Consultation,agent_system,67.5
165,medagent-pro-towards-evidence-based-multi-modal-medical-diagnosis-via-reasoning-,MedAgent-Pro: Towards Evidence-based Multi-modal Medical Diagnosis via Reasoning Agenic Workflow,agent_system,67.5
166,medagentbench-a-realistic-virtual-ehr-environment-to-benchmark-medical-llm-agent,MedAgentBench: A Realistic Virtual EHR Environment to Benchmark Medical LLM Agents,benchmark,65.0
